Announced,Trade Date,Index,Ticker,Action,Last Px,Sector,Shs to Trade,$MM to Trade,ADV to Trade
8/1/2022,8/3/2022,S&P 600,AHCO,Add,$22.30,Healthcare,"13,665,517",$304.70,1553%
7/22/2022,7/26/2022,S&P 400,MP,Add,$28.46,Materials,"8,186,835",$233.00,324%
7/21/2022,7/25/2022,S&P 400,NOVT,Add,$154.61,Info Tech,"3,919,050",-,2161%
7/21/2022,7/25/2022,S&P 600,SIX,Add,$21.98,Cons Disc,"10,540,168",-,399%
7/18/2022,7/20/2022,S&P 600,SHO,Add,$10.01,Real Estate,"29,638,721",$296.70,883%
7/13/2022,7/20/2022,S&P 400,HTA,Add,$28.55,Real Estate,"25,141,165",$717.80,564%
7/13/2022,7/19/2022,S&P 600,GRBK,Add,$21.71,Cons Disc,"6,240,593",$135.50,1297%
6/28/2022,6/30/2022,S&P 400,EHAB,Add,$24.75,Healthcare,-,-,-
6/28/2022,7/6/2022,S&P 400,ORA,Add,$72.29,Utilities,"4,922,449",$355.80,948%
6/28/2022,7/5/2022,S&P 600,FTDR,Add,$22.12,Cons Disc,"11,196,959",$247.70,725%
6/28/2022,7/1/2022,S&P 600,LRN,Add,$37.77,Cons Disc,"5,795,597",$218.90,913%
6/28/2022,7/1/2022,S&P 600,SNCY,Add,$17.01,Industrials,"4,214,945",$71.70,687%
6/24/2022,6/28/2022,S&P 400,POR,Add,$45.50,Utilities,"9,787,873",-,942%
6/24/2022,6/28/2022,S&P 600,APPS,Add,$17.39,Info Tech,"11,594,015",-,309%
6/13/2022,6/15/2022,S&P 600,EYE,Add,$39.62,Cons Disc,"11,230,796",-,1617%
6/3/2022,6/7/2022,S&P 500,VICI,Add,$32.45,Real Estate,"146,440,651","$4,752.00",906%
5/12/2022,5/16/2022,S&P 600,DVAX,Add,$7.93,Healthcare,"14,658,374",$116.20,846%
5/12/2022,5/18/2022,S&P 400,IRT,Add,$22.44,Real Estate,"24,230,554",$543.70,689%
5/12/2022,5/18/2022,S&P 600,AOSL,Add,$33.20,Info Tech,"2,772,855",$92.10,468%
